,Number,Name_of_Covered_Entity,Region,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,year
93,94,Saint Barnabas Medical Center,Bedok,3630,2010-10-05 00:00:00,Theft,Other Portable Electronic Device,2014-06-19,"The covered entity (CE), Long Island Consultation Center, misplaced an unencrypted portable device that contained the electronic protected health information (ePHI) of 800 individuals.  The ePHI included names, dates of birth, diagnoses, and other treatment information.  Upon discovery of the breach, the CE conducted a search for the portable device.  The CE provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE improved physical security.   The CE also developed and implemented a policy and procedure prohibiting use of portable media for storing ePHI and trained staff on its new policy. ",2010-05-10,2010
94,95,NYU School of Medicine--Aging and Dementia Clinical Research Center ,Sengkang,1200,2010-03-04 00:00:00,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2010-04-03,2010
95,96,University of Rochester Medical Center and Affiliates,Sengkang,857,2010-02-08 00:00:00,Loss,Other Portable Electronic Device,2014-01-23,,2010-08-02,2010
96,97,Mayo Clinic,Chai Chee,1740,7/15/2009,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,,2009-07-15,2009
97,98,LabCorp Patient Service Center,Hougang,507,2010-02-08 00:00:00,Theft,Paper,2014-01-23,,2010-08-02,2010
98,99,The Kent Center ,Pasir Ris,1361,7/13/2010,Theft,Paper,2014-01-23,,2010-07-13,2010
99,100,"Pediatric and Adult Allergy, PC",Bukit Merah,19222,2010-11-07 00:00:00,Loss,Other Portable Electronic Device,2014-01-23,,2010-07-11,2010
100,101,Ault Chiropractic Center,Novena,2000,9/15/2010,Theft,"Laptop, Desktop Computer",2014-01-23,,2010-09-15,2010
101,102,County of Los Angeles,Yio Chu Kang,33000,7/29/2010,Theft,Paper,2014-01-23,,2010-07-29,2010
102,103,"Matthew H. Conrad, M.D., P.A.",Alexandra,1200,8/20/2010,Theft,"Laptop, Paper",2014-01-23,,2010-08-20,2010
103,104,UnitedHealth Group health plan single affiliated covered entity,Chai Chee,1270,2010-08-07 00:00:00,Other,Paper,2014-01-23,,2010-07-08,2010
104,105,Counseling and Psychotherapy of Throggs Neck,Sengkang,9000,2010-06-09 00:00:00,Theft,Desktop Computer,2014-01-23,,2010-09-06,2010
105,106,United States Air Force,Jurong East,2123,7/29/2010,Improper Disposal,Paper,2014-01-23,,2010-07-29,2010
106,107,"State of Alaska, Department of Health and Social Services",Woodlands,2000,2010-07-09 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-09-07,2010
107,108,"St. Vincent Hospital and Health Care Center, Inc.",Novena,1199,7/25/2010,Theft,Laptop,2014-01-23,,2010-07-25,2010
108,109,Milford Regional Medical Center,Paya Lebar,20000,7/26/2010,Improper Disposal,Paper,2014-01-23,,2010-07-26,2010
109,110,"University of Oklahoma - Tulsa, Neurology Clinic",Bukit Gombak,19200,7/28/2010,Hacking/IT Incident,Desktop Computer,2014-01-23,,2010-07-28,2010
110,111,"LORENZO BROWN, MD INC.",Yio Chu Kang,928,8/17/2010,Theft,Desktop Computer,2014-01-23,,2010-08-17,2010
111,112,"Milton Pathology Associates, P.C.",Paya Lebar,11000,7/26/2010,Improper Disposal,Paper,2014-01-23,,2010-07-26,2010
112,113,"BlueCross BlueShield of Tennessee, Inc.",Bishan,1023209,2009-02-10 00:00:00,Theft,Other,2014-01-23,,2009-10-02,2009
113,114,Northridge Hospital Medical Center,Yio Chu Kang,716,10/16/2010,Loss,Paper,2014-01-23,,2010-10-16,2010
114,115,Puerto Rico Department of Health,Ang Mo Kio,115000,2010-03-09 00:00:00,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Other",2014-01-23,,2010-09-03,2010
115,116,VNA of Southeastern Ct.,Admiralty,12000,9/30/2010,Theft,Laptop,2014-01-23,,2010-09-30,2010
116,117,"Prime Home Care, LLC",Bukit Batok,1550,9/13/2010,Theft,Desktop Computer,2014-01-23,,2010-09-13,2010
117,118,Visiting Nurse Service Association of Schenectady County,Sengkang,535,9/14/2010,Theft,Laptop,2014-06-19,"An encrypted laptop computer that contained the electronic protected health information (ePHI) of 535 individuals was stolen from the covered entity (CE).  The ePHI included names, addresses, and dates of birth.  Upon discovery of the breach, the CE filed a police report to recover the stolen item.  Following OCR's investigation, the CE disabled the involved staff member's account, verbally counseled the staff member, and retrained the staff member.  The CE also adopted and implemented security policies and procedures for laptops/tablet devices and provided training to all staff.",2010-09-14,2010
118,119,"Manor Care Indy (South), LLC.",Novena,845,2010-11-09 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2010-09-11,2010
119,120,"Robert Wheatley, DDS, PC",Queenstown,1400,10/17/2010,Theft,Laptop,2014-01-23,,2010-10-17,2010
120,121,Henry Ford Hospital,Newton,3700,9/24/2010,Theft,Laptop,2014-01-23,,2010-09-24,2010
121,122,Holy Cross Hospital,Sembawang,1500,7/27/2010,Theft,Paper,2014-01-23,,2010-07-27,2010
122,123,Newark Beth Israel Medical Center,Bedok,1744,2010-01-01 00:00:00,Theft,Network Server,2014-06-19,"The covered entity's (CE) business associate (BA), Professional Transcription Company, posted the electronic protected health information (ePHI) of 1,744 individuals on a website portal of the BA.  The ePHI included names, dates of birth, diagnosis, and other clinical information.  Upon discovery of the breach, the BA shut down the applicable server.  The CE, Newark Beth Israel Medical Center, provided breach notification to HHS, the media, and affected individuals and also posted substitute notice on its website.  As a result of OCR's investigation, the BA located the ePHI online and contacted Google to block files that contained ePHI.  In addition, the BA retrained all employees regarding its security policies.  The CE terminated its BA agreement with the BA.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-01-01,2010
123,124,Memorial Hospital of Gardena,Yio Chu Kang,771,10/14/2010,Unauthorized Access/Disclosure,Paper,2014-01-23,,2010-10-14,2010
124,125,Oklahoma City VA Medical Center,Bukit Gombak,1950,2010-08-10 00:00:00,"Theft, Loss, Improper Disposal",Paper,2014-01-23,,2010-10-08,2010
125,126,Albert Einstein Healthcare Network,Serangoon,613,10/21/2010,Theft,Desktop Computer,2014-01-23,,2010-10-21,2010
126,127,Kings County Hospital Center,Sengkang,542,8/22/2010,Theft,Desktop Computer,2014-06-19,"An unencrypted desktop computer that contained the electronic protected health information (ePHI) of 542 individuals was stolen from the covered entity (CE), Kings County Hospital Center.  The ePHI included names, medical record numbers, admission and treatment dates, diagnostic treatment, pathology and/or medication information, telephone numbers and ages.  Upon discovery of the breach, the CE filed a police report and provided breach notification to affected individuals, HHS, and the media.  As a result of OCR's investigation, the CE installed an encryption system for all internal and external computers and laptops.  The CE implemented a new policy that prohibits staff from storing ePHI on their local computer hard drives or Windows desktop.",2010-08-22,2010
127,128,University of Tennessee Medical Center,Bishan,8200,9/23/2009,Improper Disposal,Paper,2014-01-23,,2009-09-23,2009
128,129,Hospital Auxilio Mutuo,Ang Mo Kio,1000,2010-09-11 00:00:00,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Laptop, Desktop Computer",2014-01-23,,2010-11-09,2010
129,130,Cook County Health & Hospitals System,Boon Lay,556,2010-01-11 00:00:00,Theft,Desktop Computer,2014-01-23,,2010-11-01,2010
130,131,Riverside Mercy Hospital and Ohio/Mercy Diagnostics,Jurong East,1000,3/29/2003,Improper Disposal,Paper,2014-01-23,,2003-03-29,2003
131,132,California Therapy Solutions,Yio Chu Kang,1250,2010-11-11 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-11-11,2010
132,133,Osceola Medical Center,Simei,585,11/25/2010,Unauthorized Access/Disclosure,Other,2014-01-23,,2010-11-25,2010
133,134,Indiana Family and Social Services Administration,Novena,757,2010-04-11 00:00:00,Theft,Laptop,2014-01-23,,2010-11-04,2010
134,135,Mankato Clinic,Chai Chee,3159,2010-01-11 00:00:00,Theft,Laptop,2014-01-23,,2010-11-01,2010
135,136,Geisinger Wyoming Valley Medical Center,Serangoon,2928,2010-03-11 00:00:00,Unauthorized Access/Disclosure,E-mail,2014-01-23,,2010-11-03,2010
136,137,Our Lady of Peace Hospital,Kembangan,24600,3/31/2010,"Theft, Loss","Other Portable Electronic Device, Other",2014-01-23,,2010-03-31,2010
137,138,International Union of Operating Engineers Health and Welfare Fund ,Tanglin,800,10/25/2010,Theft,Paper,2014-01-23,,2010-10-25,2010
138,139,"Southern Perioperative Services, P.C.",Clementi,2000,11/17/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-11-17,2010
139,140,Keystone/AmeriHealth Mercy Health Plans,Serangoon,808,9/20/2010,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2010-09-20,2010
140,141,"Ankle + Foot Center of Tampa Bay, Inc.",Sembawang,156000,10/28/2010,Theft,Network Server,2014-06-30,"The covered entity's (CE) network server, containing the electronic protected health information (ePHI) of 136,000 patients, was hacked.  The types of ePHI involved in the breach were demographic and clinical information, including diagnoses and other treatment data.  Following the breach, the CE hired a third party vendor to resolve a data crash and to create a data back-up plan in order to restore office functioning.  To implement adequate safeguards, the CE also employed a cloud service with increased security as the new network server.  Additionally, the CE contacted the local FBI office to assist with the CE's internal investigation of the breach and provided breach notification to all affected individuals, the media, and HHS.  As a result of OCR's investigation, the CE developed and implemented new protocols to comply with the Security Rule.  In addition, the CE provided and initiated new trainings for its staff, completed hiring of a new network vendor, implemented a new electronic health records system, and accounted for the disclosures in the affected individuals' medical records.",2010-10-28,2010
141,142,OhioHealth Corporation dba Grant Medical Center,Jurong East,501,2008-01-01 00:00:00,Theft,"Laptop, Desktop Computer",2014-01-23,,2008-01-01,2008
142,143,"Seacoast Radiology, PA",Macpherson,231400,2010-12-11 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2010-11-12,2010
143,144,Friendship Center Dental Office,Sembawang,2200,12/19/2010,Theft,Laptop,2014-01-23,,2010-12-19,2010
144,145,Centra,Marine Parade,11982,2010-11-11 00:00:00,Theft,Laptop,2014-01-23,,2010-11-11,2010
145,146,St.Vincent Hospital - Indianapolis,Novena,1848,2010-12-11 00:00:00,Hacking/IT Incident,"Network Server, E-mail",2014-01-23,,2010-11-12,2010
146,147,Texas Health Harris Methodist Hospital Azle,Yishun,9922,2010-07-04 00:00:00,"Theft, Loss","Other Portable Electronic Device, Other",2014-01-23,,2010-04-07,2010
147,148,Franciscan Medical Group,Punggol,1250,11/18/2010,Theft,Desktop Computer,2014-01-23,,2010-11-18,2010
148,149,State of South Carolina Budget and Control Board Employee Insurance Program (EIP),Little India,5596,2010-08-11 00:00:00,Hacking/IT Incident,Desktop Computer,2014-01-23,,2010-11-08,2010
149,150,Lake Woods Nursing & Rehabilitation Center,Newton,656,12/28/2010,Theft,"Laptop, Desktop Computer",2014-01-23,,2010-12-28,2010
150,151,"Benefit Resources, Inc.",Little India,16200,10/13/2010,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2010-10-13,2010
151,152,Baptist Memorial Hospital - Huntingdon,Bishan,4800,11/27/2010,Theft,Other,2014-04-23,"Two diskettes containing the electronic protected health information (ePHI) of approximately 4,754 individuals were lost by the Covered Entity's (CE) Business Associate (BA) after the package containing the diskettes was damaged by the mail carrier.  Although one of the diskettes was eventually found, the other diskette was never recovered.  The ePHI on the diskettes included names, addresses, dates of birth, social security numbers, and clinical information.  Upon discovery of the breach, the CE obtained a copy of the information contained on the diskettes and notified all affected individuals, OCR and the media.  Following OCR's investigation, the CE terminated its contract with the BA involved in the incident and provided evidence of the assurances in its BA agreement pertaining to the return or destruction of ePHI.  Lastly, the CE entered an accounting of disclosures for each affected individual into its electronic database.",2010-11-27,2010
152,153,"Grays Harbor Pediatrics, PLLC",Punggol,12009,11/23/2010,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2010-11-23,2010
153,154,"CHC MEMPHIS CMHC, LLC",Bishan,500,2010-04-12 00:00:00,Theft,Desktop Computer,2014-01-23,,2010-12-04,2010
154,155,Jefferson Center for Mental Health,Redhill,546,12/13/2010,Theft,Paper,2014-01-23,,2010-12-13,2010
155,156,Green River District Health Department,Kembangan,18871,2011-12-01 00:00:00,Hacking/IT Incident,Network Server,2014-01-23,,2011-01-12,2011
156,157,"Ortho Montana, PSC",Telok Blangah,37000,2011-08-01 00:00:00,"Theft, Loss",Laptop,2014-02-14,,2011-01-08,2011
157,158,Cancer Care Northwest P.S.,Punggol,3100,2011-07-01 00:00:00,Theft,Paper,2014-06-30,"The covered entity (CE) accidentally mailed the protected health information (PHI) of approximately 3,100 individuals to other individuals when a mail-merge process mismatched names and addresses.  The PHI involved in the breach included names and indicated that the individuals were patients of the CE.  Following the breach, the CE implemented additional safeguards, as well as policies and procedures to ensure mailing list accuracy.  As a result of this incident, OCR required the CE to train its workforce members on its newly developed policies and procedures.  Additionally, OCR provided technical assistance regarding substitute breach notification methods, including a conspicuous posting on the CE's website.",2011-01-07,2011
158,159,Saint Louis University,Queenstown,800,2010-11-12 00:00:00,Hacking/IT Incident,Desktop Computer,2014-01-23,,2010-12-11,2010
159,160,New York City Health & Hospitals Corporation's North Bronx Healthcare Network,Sengkang,1700000,12/23/2010,Theft,"Other, Electronic Medical Record",2014-05-28,"Unencrypted clinical system backup tapes that contained the electronic protected health information (ePHI) of 1,700,000 individuals were stolen from the unlocked vehicle of an employee of the covered entity's (CE) business associate (BA).  The ePHI included names, medical record numbers, social security numbers, addresses, telephone numbers, health plan numbers, dates of birth, dates of admission, dates of treatment, dates of discharge, dates of death, mother's name, next of kin, clinical information related to diagnosis, treatment, prognosis, laboratory tests and results, and medications.  Upon discovery of the breach, the CE filed a police report to recover the stolen items and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE terminated its BA agreement and installed encryption software on backup media.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2010-12-23,2010
160,161,Long Beach Memorial Medical Center,Yio Chu Kang,2250,2010-10-12 00:00:00,Unauthorized Access/Disclosure,Other,2014-01-23,,2010-12-10,2010
161,162,Walgreen Co.,Boon Lay,2700,1/26/2011,Theft,"Other Portable Electronic Device, Other",2014-06-10,,2011-01-26,2011
162,163,"Charleston Area Medical Center, Inc",Kent Ridge,3655,2011-08-02 00:00:00,Unauthorized Access/Disclosure,Network Server,2014-01-23,,2011-02-08,2011
163,164,Mountain Vista Medical Center,Toa Payoh,2291,10/13/2010,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2010-10-13,2010
164,165,Departamento de Salud de Puerto Rico,Ang Mo Kio,2621,3/14/2010,Unknown,Desktop Computer,2014-01-23,,2010-03-14,2010
165,166,Henry Ford Hospital,Newton,2777,1/31/2011,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2011-01-31,2011
166,167,"Central Brooklyn Medical Group, PC",Sengkang,500,2010-03-08 00:00:00,Theft,Paper,2014-06-20,"OCR opened an investigation of the covered entity (CE), Preferred Health Partners f/k/a Central Brooklyn Medical Group, after it reported appointment schedules, pathology reports and portions of medical records containing the protected health information (PHI) of 500 individuals were stolen from an office.  The PHI included names, ages, telephone numbers, social security numbers, medical insurance information, pathology reports, and other clinical information.  Upon discovery of the breach, the CE filed a police report and worked with law enforcement authorities to recover as much of the PHI as possible that was stolen.  As a result of OCR's investigation, the CE removed PHI such as social security or medical insurance numbers from tracking logs.  In addition, the CE improved safeguards by storing log binders in a locked area and shredding documents regularly.  Further, the CE replaced the manual process of printing certain records with an electronic verification system.  The CE also archived, stored off site, and locked up all paper records and retrained all staff on its HIPAA policies and procedures. ",2010-08-03,2010
167,168,TRICARE Management Activity,Redhill,4500,6/25/2010,Unauthorized Access/Disclosure,Paper,2014-01-23,,2010-06-25,2010
168,169,Blue Cross and Blue Shield of Florida ,Sembawang,7366,10/16/2010,Unknown,Other,2014-01-23,,2010-10-16,2010
169,170,"University Health Services, University of Massachusetts, Amherst",Paya Lebar,942,9/29/2010,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,,2010-09-29,2010
170,171,"Omnicare, Inc",Kembangan,8845,1/19/2011,Theft,Laptop,2014-01-23,,2011-01-19,2011
171,172,"JEFFREY J. SMITH, MD",Bukit Gombak,600,11/24/2010,Loss,"Desktop Computer, Other Portable Electronic Device, Other",2014-01-23,,2010-11-24,2010
172,173,University of Missouri Health Plan,Queenstown,765,2011-10-01 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-01-10,2011
173,174,"Rape & Brooks Orthodontics, P.C.",Clementi,20744,2011-03-02 00:00:00,Theft,"Desktop Computer, Network Server, Other Portable Electronic Device, Other",2014-01-23,,2011-02-03,2011
174,175,Clarksburg - Louis A. Johnson VA Medical Center,Kent Ridge,1470,10/26/2010,Unauthorized Access/Disclosure,Paper,2014-01-23,,2010-10-26,2010
175,176,County of Los Angeles,Yio Chu Kang,667,2/23/2011,Theft,Laptop,2014-01-23,,2011-02-23,2011
176,177,EISENHOWER MEDICAL CENTER,Yio Chu Kang,514330,2011-11-03 00:00:00,Theft,Desktop Computer,2014-01-23,,2011-03-11,2011
177,178,Catholic Social Services,Woodlands,1700,2011-01-02 00:00:00,Theft,Laptop,2014-06-30,"A personal laptop computer containing the electronic protected health information (ePHI) of 1,700 individuals and approximately 493 adoption home studies was stolen from a contractor's vehicle.  The ePHI involved included names, addresses, phone numbers, dates of birth, driver's license numbers, health information, and social security numbers.  At the time of the breach, the covered entity (CE) did not have a business associate (BA) contract with the contractor.  Following OCR's investigation, the CE developed policies and procedures for obtaining BA contracts as required by the Privacy Rule and verified that the contractor no longer had a business relationship with the CE.  OCR obtained assurances that breach notification was provided to the affected individuals, HHS, and the media.",2011-02-01,2011
178,179,"Park Avenue Obstetrics & Gynecology, PC",Toa Payoh,635,3/25/2011,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-03-25,2011
179,180,"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",Toa Payoh,10000,2011-01-03 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-03-01,2011
180,181,MidState Medical Center,Admiralty,93500,2/14/2011,Loss,Other,2014-01-23,,2011-02-14,2011
181,182,"Patient Care Services at Saint Francis, Inc.",Bukit Gombak,84000,1/13/2011,Theft,Network Server,2014-03-13,,2011-01-13,2011
182,183,Union Security Insurance Company,Queenstown,935,2/18/2011,Unauthorized Access/Disclosure,Other,2014-01-23,,2011-02-18,2011
183,184,Oklaholma State Dept. of Health,Bukit Gombak,132940,2011-06-04 00:00:00,Theft,"Laptop, Paper",2014-04-23,,2011-04-06,2011
184,185,Aiken Community Based Outpatient Clinic,Little India,2717,2/16/2011,Improper Disposal,Paper,2014-01-23,,2011-02-16,2011
185,186,"Health Net, Inc.",Yio Chu Kang,1900000,1/21/2011,Unknown,Other,2014-01-23,,2011-01-21,2011
186,187,SW General Inc,Toa Payoh,566,2004-01-05 00:00:00,Theft,Paper,2014-01-23,,2004-05-01,2004
187,188,Fairview Health Services,Chai Chee,1215,2/19/2011,Loss,Paper,2014-01-23,,2011-02-19,2011
188,189,Time Insurance Company,Simei,675,2011-01-02 00:00:00,Unauthorized Access/Disclosure,Other,2014-04-23,,2011-02-01,2011
189,190,Community Action partnership of Natrona County,Teban Gardens,15000,2/23/2011,Hacking/IT Incident,Desktop Computer,2014-01-23,,2011-02-23,2011
190,191,"Keith & Fisher, DDS, PA",Bukit Panjang,6000,2/16/2011,Hacking/IT Incident,Network Server,2014-01-23,,2011-02-16,2011
191,192,MacNeal Hospital,Boon Lay,845,2011-10-03 00:00:00,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,,2011-03-10,2011
192,193,West Lake Hospital ,Boon Lay,686,2011-10-03 00:00:00,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,,2011-03-10,2011
193,194,Phoenix Health Plan,Toa Payoh,9393,2011-10-03 00:00:00,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-04-23,,2011-03-10,2011
194,195,MacNeal Physician Group,Boon Lay,532,2011-10-03 00:00:00,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,,2011-03-10,2011
195,196,Genesis Clinical Laboratory,Boon Lay,1070,2011-10-03 00:00:00,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail",2014-03-24,,2011-03-10,2011
196,197,Knox Community Hospital,Jurong East,500,2010-01-10 00:00:00,Improper Disposal,Other,2014-01-23,,2010-10-01,2010
197,198,Speare Memorial Hospital,Macpherson,5960,2011-02-04 00:00:00,Theft,Laptop,2014-03-13,,2011-04-02,2011
198,199,Reid Hospital & Health Care Services,Novena,22001,2011-02-04 00:00:00,Theft,Laptop,2014-01-23,,2011-04-02,2011
199,200,Union Security Insurance Company,Queenstown,850,3/24/2011,Unauthorized Access/Disclosure,Other,2014-01-23,,2011-03-24,2011
200,201,Indiana Regional Medical Center,Serangoon,1388,9/28/2010,Theft,Paper,2014-01-23,,2010-09-28,2010
201,202,"MMM Healthcare, Inc.",Ang Mo Kio,32390,2011-08-03 00:00:00,Theft,Desktop Computer,2014-01-23,,2011-03-08,2011
202,203,PMC Medicare Choice,Ang Mo Kio,24361,2011-08-03 00:00:00,Theft,Desktop Computer,2014-01-23,,2011-03-08,2011
203,204,CVS CAREMARK,Toa Payoh,654,1/17/2011,"Theft, Unauthorized Access/Disclosure",Paper,2014-04-23,,2011-01-17,2011
204,205,CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,Sembawang,8000,2011-01-01 00:00:00,Theft,"Other, Paper",2014-01-23,,2011-01-01,2011
205,206,"Robert B. Miller, MD",Yio Chu Kang,620,2011-01-04 00:00:00,Theft,Laptop,2014-01-23,,2011-04-01,2011
206,207,Imaging Center of Garland,Yishun,1031,3/15/2011,Improper Disposal,Other,2014-01-23,,2011-03-15,2011
207,208,New York State Department of Health,Sengkang,550,4/17/2011,Theft,Paper,2014-06-03,"A bag containing 43 pages of protected health information (PHI) of 550 nursing home residents and an encrypted laptop computer were stolen from the vehicle of an employee of the covered entity's (CE) business associate (BA).  The PHI included names, dates of birth, gender identities, names of the nursing homes, and Medicaid numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and all affected individuals, as well as offering one year of free identity theft protection.  Following OCR's investigation, the CE's BA terminated the employee and re-trained its staff on its privacy and security policies, including not leaving laptops in unoccupied vehicles.  In addition, the CE reminded all contractors about the need to safeguard confidential information, and reviewed the BA's contractual obligations relating to safeguarding PHI.   The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2011-04-17,2011
208,209,St. Mary's Hospital for Children,Sengkang,550,4/17/2011,Theft,Paper,2014-06-02,"A laptop computer containing the protected health information (PHI) of approximately 550 individuals was stolen from the vehicle of the business associate's (BA) workforce member.  The PHI included names, dates of birth, gender identities, names of nursing homes, and Medicaid numbers of the covered entity's (CE) patients.  Following the breach, the BA terminated the employee who was involved in the breach and provided credit monitoring services to the affected individuals.  The BA also re-trained its staff.  Following OCR's investigation, the CE and the BA reviewed the BA's contractual obligations relating to PHI during an in-person meeting.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",2011-04-17,2011
209,210,Medicare Fee-for-Service Program,Tanglin,13412,2011-11-04 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-04-11,2011
210,211,VA Caribbean Healthcare System,Ang Mo Kio,6006,3/30/2011,Theft,Paper,2014-06-19,"An employee of the covered entity (CE), VA Caribbean Healthcare System, left documents containing the protected health information (PHI) of 6,006 individuals in an unsecure bag at a nursing station.  The PHI included names, social security numbers, patient care assignments, patient counts and patient census lists.  Upon discovery of the breach, the CE secured the PHI and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE disciplined and retrained the employee and implemented a procedure that nursing leadership is required to conduct rounds on wards once vacated.  The CE also retrained all staff on its privacy and security policies and procedures.",2011-03-30,2011
211,212,Blue Cross Blue Shield of Michigan,Newton,11387,11/17/2010,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-01-23,,2010-11-17,2010
212,213,Spartanburg Regional Healthcare System,Little India,400000,3/28/2011,Theft,Desktop Computer,2014-01-23,,2011-03-28,2011
213,214,Saint Joseph - Berea,Kembangan,1986,4/14/2011,"Theft, Loss","Other Portable Electronic Device, Other",2014-04-23,,2011-04-14,2011
214,215,Navos,Punggol,2700,3/15/2011,Unknown,Paper,2014-01-23,,2011-03-15,2011
215,216,"Dunes Family Health Care, P.C",Boon Keng,17000,2011-11-03 00:00:00,Theft,"Other Portable Electronic Device, Other",2014-02-14,,2011-03-11,2011
216,217,"Metropolitan Community Health Services, Inc.",Bukit Panjang,1263,5/18/2011,Unknown,E-mail,2014-04-23,,2011-05-18,2011
217,218,TUBA CITY REGIONAL HEALTH CARE CORPORATION,Toa Payoh,2000,2011-01-04 00:00:00,"Loss, Improper Disposal",Paper,2014-01-23,,2011-04-01,2011
218,219,"FOOTHILLS NEPHROLOGY, PC",Little India,1280,4/28/2011,Theft,"Other Portable Electronic Device, Other",2014-01-23,,2011-04-28,2011
219,220,Sutter Gould Medical Foundation (SGMF),Yio Chu Kang,1192,5/23/2011,Loss,Paper,2014-01-23,,2011-05-23,2011
220,221,Silverpop Systems Inc. Health and Welfare Plan,Eunos,884,4/15/2011,Theft,Laptop,2014-01-23,,2011-04-15,2011
221,222,New River Health Association,Kent Ridge,950,2011-01-04 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-04-01,2011
222,223,HealthCare Partners,Yio Chu Kang,15677,4/17/2011,Theft,Desktop Computer,2014-01-23,,2011-04-17,2011
223,224,"Gene S. J. Liaw, MD. PS",Punggol,1105,2011-04-04 00:00:00,Loss,"Other Portable Electronic Device, Other",2014-01-23,,2011-04-04,2011
224,225,Blue Cross and Blue Shield of Florida ,Sembawang,3463,2011-11-04 00:00:00,Unauthorized Access/Disclosure,Other,2014-01-23,,2011-04-11,2011
225,226,"NOL, LLC d/b/a Premier Radiology",Bishan,810,2011-07-05 00:00:00,Theft,Laptop,2014-04-23,,2011-05-07,2011
226,227,"Advanced Diagnostic Imaging, P.C.",Bishan,705,2011-07-05 00:00:00,Theft,Laptop,2014-04-23,,2011-05-07,2011
227,228,University of Missouri Health Care,Queenstown,1288,6/14/2011,Unknown,Paper,2014-01-23,,2011-06-14,2011
228,229,Accendo,Toa Payoh,175350,2011-01-01 00:00:00,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-01-01,2011
229,230,Ohio Health Plans,Jurong East,78042,2011-03-06 00:00:00,Theft,Laptop,2014-01-23,,2011-06-03,2011
230,231,"Gail Gillespie and Associates, LLC",Kovan,2000,6/25/2011,Theft,"Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,,2011-06-25,2011
231,232,Health Plan of San Mateo,Yio Chu Kang,694,4/25/2011,Unauthorized Access/Disclosure,Paper,2014-01-23,,2011-04-25,2011
232,233,Department of Health Care Policy and Financing,Redhill,3589,2011-06-05 00:00:00,Loss,Other,2014-02-14,,2011-05-06,2011
233,234,Yanez Dental Corporation,Yio Chu Kang,10190,5/22/2011,Theft,"Desktop Computer, Network Server",2014-01-23,,2011-05-22,2011
234,235,Jackson Health System,Sembawang,1562,2008-01-10 00:00:00,Unauthorized Access/Disclosure,"Other, Electronic Medical Record",2014-01-23,,2008-10-01,2008
