truckid,driverid,event,Region,velocity,event_ind,idling_ind
A23,A23,normal,Bukit Batok,67,No,No
A59,A59,normal,Bishan,48,No,No
A18,A18,normal,Tampines,15,No,No
A38,A38,normal,Hougang,25,No,No
A12,A12,normal,Little India,48,No,No
A21,A21,normal,Tampines,22,No,No
A41,A41,lane departure,Yishun,45,Yes,No
A76,A76,unsafe following distance,Eunos,53,Yes,No
A34,A34,normal,Tampines,45,No,No
A50,A50,normal,Queenstown,34,No,No
A19,A19,normal,Boon Lay,62,No,No
A56,A56,lane departure,Aljunied,41,Yes,No
A7,A7,normal,Yishun,34,No,No
A17,A17,normal,Choa Chu Kang,15,No,No
A41,A41,normal,Bukit Batok,52,No,No
A53,A53,unsafe following distance,Bukit Batok,28,Yes,No
A59,A59,normal,Chai Chee,0,No,Yes
A68,A68,normal,Potong Pasir,60,No,No
A59,A59,normal,Tanglin,64,No,No
A18,A18,normal,Potong Pasir,0,No,Yes
A83,A83,normal,Choa Chu Kang,22,No,No
A13,A13,normal,Woodlands,47,No,No
A24,A24,normal,Yishun,55,No,No
A38,A38,normal,Marine Parade,62,No,No
A43,A43,normal,Tampines,27,No,No
A94,A94,normal,Redhill,0,No,Yes
A70,A70,normal,Little India,0,No,Yes
A68,A68,normal,Bukit Batok,64,No,No
A17,A17,normal,Kovan,0,No,Yes
A38,A38,normal,Yishun,40,No,No
A54,A54,normal,Hougang,70,No,No
A13,A13,normal,Choa Chu Kang,70,No,No
A74,A74,normal,Bukit Merah,0,No,Yes
A53,A53,unsafe following distance,Bouna Vista,31,Yes,No
A24,A24,normal,Macpherson,43,No,No
A58,A58,normal,Marsiling,16,No,No
A72,A72,normal,Potong Pasir,0,No,Yes
A77,A77,normal,Queenstown,27,No,No
A97,A97,lane departure,Pasir Laba,45,Yes,No
A26,A26,normal,Bukit Batok,0,No,Yes
A75,A75,normal,Bishan,46,No,No
A88,A88,normal,Bukit Batok,54,No,No
A33,A33,normal,Simei,38,No,No
A56,A56,normal,Bouna Vista,71,No,No
A3,A3,normal,Yishun,0,No,Yes
A63,A63,normal,Woodlands,0,No,Yes
A19,A19,normal,Yishun,53,No,No
A61,A61,normal,Jurong East,42,No,No
A97,A97,normal,Yio Chu Kang,0,No,Yes
A53,A53,normal,Bouna Vista,0,No,Yes
A69,A69,normal,Bukit Batok,39,No,No
A79,A79,normal,Sembawang,51,No,No
A93,A93,normal,Yio Chu Kang,0,No,Yes
A66,A66,normal,Little India,73,No,No
A11,A11,normal,Marine Parade,19,No,No
A88,A88,normal,Yishun,21,No,No
A15,A15,normal,Hougang,60,No,No
A52,A52,normal,Sembawang,0,No,Yes
A25,A25,normal,Yio Chu Kang,39,No,No
A44,A44,normal,Bishan,0,No,Yes
A79,A79,normal,Sembawang,75,No,No
A92,A92,normal,Tampines,44,No,No
A55,A55,normal,Farrer Park,55,No,No
A95,A95,lane departure,Yishun,41,Yes,No
A46,A46,normal,Queenstown,23,No,No
A9,A9,normal,Tanglin,0,No,Yes
A63,A63,normal,Pasir Laba,36,No,No
A26,A26,normal,Ang Mo Kio,37,No,No
A48,A48,normal,Bishan,66,No,No
A81,A81,normal,Yishun,16,No,No
A83,A83,normal,Bukit Gombak,0,No,Yes
A44,A44,normal,Tampines,17,No,No
A51,A51,normal,Boon Keng,17,No,No
A90,A90,normal,Yishun,75,No,No
A92,A92,normal,Boon Lay,74,No,No
A56,A56,normal,Sembawang,0,No,Yes
A56,A56,normal,Novena,67,No,No
A13,A13,normal,Tanglin,45,No,No
A9,A9,normal,Tampines,64,No,No
A83,A83,normal,Clementi,37,No,No
A4,A4,normal,Newton,70,No,No
A27,A27,normal,Hougang,35,No,No
A69,A69,normal,Queenstown,0,No,Yes
A91,A91,normal,Chai Chee,0,No,Yes
A87,A87,normal,Toa Payoh,0,No,Yes
A46,A46,normal,Tampines,37,No,No
A87,A87,normal,Bishan,60,No,No
A100,A100,normal,Hougang,57,No,No
A58,A58,normal,Punggol,29,No,No
A12,A12,normal,Little India,73,No,No
A42,A42,normal,Yishun,69,No,No
A69,A69,overspeed,Bukit Batok,91,Yes,No
A77,A77,normal,Potong Pasir,0,No,Yes
A9,A9,normal,Chai Chee,75,No,No
A14,A14,normal,Novena,68,No,No
A93,A93,normal,Bukit Merah,0,No,Yes
A57,A57,normal,Marine Parade,0,No,Yes
A10,A10,normal,Bukit Gombak,0,No,Yes
A37,A37,normal,Novena,17,No,No
A37,A37,normal,Yishun,70,No,No
A92,A92,normal,Queenstown,64,No,No
A82,A82,normal,Little India,24,No,No
A58,A58,normal,Bukit Panjang,58,No,No
A94,A94,normal,Choa Chu Kang,0,No,Yes
A78,A78,normal,Bukit Panjang,75,No,No
A8,A8,normal,Yishun,21,No,No
A25,A25,normal,Bishan,0,No,Yes
A88,A88,normal,Marine Parade,0,No,Yes
A94,A94,normal,Woodlands,0,No,Yes
A29,A29,normal,Clementi,25,No,No
A52,A52,normal,Kent Ridge,75,No,No
A57,A57,normal,Ang Mo Kio,0,No,Yes
A1,A1,unsafe following distance,Teban Gardens,16,Yes,No
A51,A51,unsafe following distance,Chai Chee,53,Yes,No
A90,A90,normal,Pasir Laba,59,No,No
A21,A21,normal,Kovan,50,No,No
A12,A12,normal,Yishun,0,No,Yes
A87,A87,normal,Woodlands,43,No,No
A55,A55,normal,Telok Blangah,37,No,No
A20,A20,overspeed,Yishun,89,Yes,No
A19,A19,normal,Sengkang,19,No,No
A38,A38,normal,Yishun,42,No,No
A80,A80,normal,Bukit Batok,15,No,No
A97,A97,lane departure,Bukit Merah,68,No,No
A35,A35,normal,Tampines,69,No,No
A6,A6,normal,Woodlands,46,No,No
A1,A1,normal,Bukit Panjang,75,No,No
A72,A72,normal,Bouna Vista,44,No,No
A86,A86,normal,Woodlands,61,No,No
A28,A28,normal,Macpherson,51,No,No
A89,A89,normal,Admiralty,64,No,No
A5,A5,normal,Pasir Laba,19,No,No
A75,A75,normal,Yio Chu Kang,0,No,Yes
A49,A49,normal,Yishun,0,No,Yes
A57,A57,normal,Yishun,41,No,No
A71,A71,normal,Kovan,0,No,Yes
A68,A68,unsafe following distance,Yishun,63,Yes,No
A65,A65,normal,Tampines,40,No,No
A16,A16,normal,Woodlands,39,No,No
A27,A27,normal,Yishun,70,No,No
A80,A80,normal,Marine Parade,0,No,Yes
A34,A34,normal,Jurong East,0,No,Yes
A61,A61,normal,Hougang,0,No,Yes
A76,A76,normal,Kembangan,57,No,No
A2,A2,normal,Pasir Ris,44,No,No
A74,A74,normal,Woodlands,46,No,No
A30,A30,normal,Alexandra,44,No,No
A6,A6,normal,Kent Ridge,54,No,No
A37,A37,normal,Toa Payoh,20,No,No
A88,A88,normal,Alexandra,0,No,Yes
A2,A2,normal,Jurong East,0,No,Yes
A71,A71,normal,Jurong East,53,No,No
A70,A70,normal,Boon Lay,42,No,No
A29,A29,normal,Novena,61,No,No
A80,A80,normal,Yishun,0,No,Yes
A44,A44,normal,Bishan,0,No,Yes
A100,A100,normal,Newton,25,No,No
A59,A59,normal,Boon Keng,17,No,No
A9,A9,normal,Telok Blangah,58,No,No
A20,A20,normal,Admiralty,0,No,Yes
A19,A19,normal,Bedok,59,No,No
A43,A43,normal,Little India,0,No,Yes
A57,A57,lane departure,Tampines,74,Yes,No
A44,A44,normal,Tampines,17,No,No
A95,A95,normal,Bukit Batok,18,No,No
A45,A45,normal,Chai Chee,0,No,Yes
A76,A76,normal,Ang Mo Kio,58,No,No
A33,A33,normal,Bukit Batok,0,No,Yes
A77,A77,normal,Sengkang,51,No,No
A21,A21,overspeed,Yio Chu Kang,88,Yes,No
A24,A24,normal,Teban Gardens,31,No,No
A38,A38,unsafe following distance,Yishun,23,Yes,No
A63,A63,normal,Tampines,0,No,Yes
A30,A30,normal,Marine Parade,0,No,Yes
A26,A26,normal,Bouna Vista,0,No,Yes
A68,A68,normal,Yishun,16,No,No
A90,A90,normal,Pasir Laba,56,No,No
A27,A27,normal,Queenstown,39,No,No
A45,A45,normal,Tampines,67,No,No
A8,A8,normal,Yishun,0,No,Yes
A39,A39,normal,Yio Chu Kang,68,No,No
A55,A55,normal,Bukit Panjang,62,No,No
A100,A100,normal,Newton,68,No,No
A22,A22,normal,Woodlands,0,No,Yes
A37,A37,normal,Bukit Batok,0,No,Yes
A64,A64,unsafe following distance,Bukit Batok,0,Yes,Yes
A79,A79,normal,Bukit Gombak,66,No,No
A50,A50,normal,Queenstown,37,No,No
A93,A93,normal,Yio Chu Kang,0,No,Yes
A37,A37,normal,Toa Payoh,23,No,No
A9,A9,overspeed,Tanglin,91,Yes,No
A11,A11,normal,Marine Parade,24,No,No
A13,A13,normal,Woodlands,67,No,No
A46,A46,normal,Bedok,45,No,No
A56,A56,normal,Sembawang,0,No,Yes
A10,A10,normal,Toa Payoh,41,No,No
A8,A8,normal,Punggol,54,No,No
A54,A54,normal,Paya Lebar,22,No,No
A65,A65,normal,Alexandra,0,No,Yes
A24,A24,normal,Clementi,0,No,Yes
A80,A80,normal,Tampines,0,No,Yes
A17,A17,normal,Tampines,17,No,No
A38,A38,normal,Queenstown,37,No,No
A63,A63,normal,Tampines,54,No,No
A40,A40,normal,Bishan,59,No,No
A100,A100,normal,Potong Pasir,56,No,No
A59,A59,normal,Tanglin,35,No,No
A72,A72,normal,Yishun,42,No,No
A30,A30,normal,Marine Parade,19,No,No
A75,A75,lane departure,Kent Ridge,45,Yes,No
A94,A94,normal,Kovan,73,No,No
A4,A4,normal,Yishun,0,No,Yes
A17,A17,normal,Pasir Laba,0,No,Yes
A90,A90,normal,Choa Chu Kang,75,No,No
A29,A29,normal,Novena,0,No,Yes
A96,A96,normal,Yishun,34,No,No
A53,A53,lane departure,Tampines,24,Yes,No
A23,A23,normal,Queenstown,37,No,No
A47,A47,normal,Clementi,22,No,No
A76,A76,normal,Serangoon,47,No,No
A68,A68,normal,Bukit Gombak,41,No,No
A6,A6,normal,Simei,0,No,Yes
A83,A83,lane departure,Novena,0,Yes,Yes
A18,A18,normal,Yishun,0,No,Yes
A74,A74,normal,Teban Gardens,48,No,No
A37,A37,normal,Woodlands,0,No,Yes
A82,A82,normal,Pasir Laba,0,No,Yes
A62,A62,normal,Marsiling,27,No,No
A45,A45,normal,Yishun,0,No,Yes
A53,A53,normal,Ang Mo Kio,24,No,No
A37,A37,normal,Simei,26,No,No
A51,A51,normal,Clementi,45,No,No
A66,A66,normal,Admiralty,31,No,No
A57,A57,unsafe following distance,Yishun,23,Yes,No
A88,A88,normal,Queenstown,19,No,No
A85,A85,normal,Marsiling,43,No,No
A18,A18,normal,Yishun,0,No,Yes
A40,A40,normal,Bishan,46,No,No
A14,A14,normal,Bishan,68,No,No
A4,A4,normal,Yishun,50,No,No
A30,A30,normal,Eunos,39,No,No
A52,A52,normal,Kovan,0,No,Yes
A11,A11,normal,Yishun,27,No,No
A68,A68,normal,Bukit Gombak,40,No,No
A58,A58,normal,Yishun,0,No,Yes
A90,A90,normal,Telok Blangah,0,No,Yes
A43,A43,normal,Yio Chu Kang,61,No,No
A37,A37,normal,Novena,55,No,No
A66,A66,normal,Clementi,46,No,No
A4,A4,normal,Tampines,27,No,No
A43,A43,normal,Queenstown,38,No,No
A42,A42,normal,Boon Lay,47,No,No
A28,A28,normal,Little India,70,No,No
A63,A63,normal,Yishun,0,No,Yes
A22,A22,normal,Kembangan,16,No,No
A45,A45,normal,Eunos,29,No,No
A19,A19,normal,Queenstown,62,No,No
A64,A64,normal,Novena,44,No,No
A49,A49,normal,Yishun,55,No,No
A53,A53,normal,Bouna Vista,60,No,No
A58,A58,normal,Yishun,73,No,No
A31,A31,normal,Tampines,75,No,No
A46,A46,normal,Hougang,0,No,Yes
A26,A26,normal,Tampines,38,No,No
A1,A1,normal,Boon Lay,23,No,No
A30,A30,normal,Ang Mo Kio,0,No,Yes
A5,A5,normal,Farrer Park,37,No,No
A36,A36,normal,Tampines,46,No,No
A79,A79,normal,Redhill,34,No,No
A92,A92,normal,Yishun,0,No,Yes
A39,A39,normal,Yio Chu Kang,29,No,No
A44,A44,normal,Bishan,48,No,No
A9,A9,normal,Boon Lay,75,No,No
A52,A52,normal,Sembawang,25,No,No
A18,A18,normal,Tampines,0,No,Yes
A54,A54,normal,Hougang,46,No,No
A28,A28,normal,Pasir Laba,23,No,No
A72,A72,normal,Chai Chee,56,No,No
A63,A63,normal,Woodlands,75,No,No
A84,A84,normal,Yishun,45,No,No
A33,A33,normal,Bukit Batok,27,No,No
A36,A36,normal,Tampines,73,No,No
A11,A11,normal,Yishun,0,No,Yes
A91,A91,normal,Bouna Vista,43,No,No
A63,A63,normal,Chai Chee,23,No,No
A95,A95,normal,Bouna Vista,31,No,No
A57,A57,normal,Tampines,24,No,No
A18,A18,normal,Toa Payoh,0,No,Yes
A58,A58,normal,Yishun,64,No,No
A77,A77,normal,Yishun,34,No,No
A1,A1,normal,Yio Chu Kang,34,No,No
A73,A73,normal,Boon Lay,0,No,Yes
A9,A9,normal,Telok Blangah,50,No,No
A35,A35,normal,Yishun,0,No,Yes
A38,A38,normal,Yishun,55,No,No
A31,A31,normal,Punggol,37,No,No
A60,A60,overspeed,Toa Payoh,90,Yes,No
A56,A56,normal,Woodlands,62,No,No
A17,A17,normal,Woodlands,69,No,No
A67,A67,normal,Pasir Ris,46,No,No
A35,A35,normal,Yio Chu Kang,16,No,No
A16,A16,normal,Little India,18,No,No
A100,A100,normal,Yishun,26,No,No
A60,A60,lane departure,Simei,41,Yes,No
A97,A97,normal,Teban Gardens,62,No,No
A25,A25,normal,Yishun,0,No,Yes
A48,A48,normal,Pasir Ris,43,No,No
A46,A46,normal,Sengkang,47,No,No
A17,A17,normal,Tampines,0,No,Yes
A91,A91,normal,Woodlands,53,No,No
A30,A30,normal,Yishun,60,No,No
A76,A76,normal,Eunos,64,No,No
A26,A26,normal,Eunos,0,No,Yes
A50,A50,normal,Boon Lay,33,No,No
A73,A73,normal,Bukit Batok,0,No,Yes
A58,A58,normal,Yishun,66,No,No
A62,A62,normal,Newton,0,No,Yes
A14,A14,overspeed,Tampines,81,Yes,No
A44,A44,normal,Woodlands,21,No,No
A79,A79,normal,Novena,27,No,No
A97,A97,lane departure,Yio Chu Kang,44,No,No
A50,A50,normal,Punggol,47,No,No
A5,A5,normal,Teban Gardens,65,No,No
A40,A40,normal,Chai Chee,37,No,No
A31,A31,normal,Little India,16,No,No
A71,A71,normal,Yio Chu Kang,0,No,Yes
A24,A24,overspeed,Boon Keng,91,Yes,No
A51,A51,normal,Macpherson,33,No,No
A37,A37,normal,Toa Payoh,69,No,No
A51,A51,normal,Boon Keng,0,No,Yes
A7,A7,normal,Marine Parade,0,No,Yes
A30,A30,normal,Tampines,22,No,No
A15,A15,normal,Yishun,55,No,No
A100,A100,normal,Potong Pasir,0,No,Yes
A70,A70,normal,Teban Gardens,61,No,No
A87,A87,normal,Woodlands,33,No,No
A75,A75,normal,Bishan,28,No,No
A23,A23,normal,Sengkang,55,No,No
A98,A98,normal,Toa Payoh,20,No,No
A47,A47,normal,Little India,57,No,No
A78,A78,normal,Bukit Panjang,55,No,No
A50,A50,normal,Yishun,71,No,No
A25,A25,normal,Woodlands,57,No,No
A96,A96,normal,Newton,26,No,No
A74,A74,normal,Little India,0,No,Yes
A29,A29,normal,Clementi,25,No,No
A80,A80,normal,Bukit Batok,0,No,Yes
A5,A5,normal,Pasir Laba,71,No,No
A57,A57,normal,Marine Parade,41,No,No
A53,A53,normal,Tampines,68,No,No
A60,A60,normal,Choa Chu Kang,16,No,No
A50,A50,normal,Yishun,66,No,No
A5,A5,unsafe following distance,Woodlands,0,Yes,Yes
A21,A21,normal,Yio Chu Kang,70,No,No
A87,A87,normal,Toa Payoh,43,No,No
A42,A42,normal,Alexandra,51,No,No
A20,A20,normal,Yio Chu Kang,0,No,Yes
A69,A69,normal,Yishun,59,No,No
A2,A2,normal,Kent Ridge,44,No,No
A16,A16,normal,Yio Chu Kang,43,No,No
A71,A71,normal,Little India,25,No,No
A42,A42,normal,Queenstown,54,No,No
A83,A83,normal,Kent Ridge,67,No,No
A72,A72,normal,Yishun,0,No,Yes
A89,A89,normal,Tampines,16,No,No
A99,A99,normal,Yishun,63,No,No
A27,A27,normal,Queenstown,0,No,Yes
A91,A91,normal,Yishun,0,No,Yes
A63,A63,normal,Tampines,34,No,No
A97,A97,normal,Teban Gardens,0,No,Yes
A45,A45,normal,Bouna Vista,27,No,No
A28,A28,unsafe following distance,Bukit Panjang,54,Yes,No
A82,A82,normal,Bishan,50,No,No
A55,A55,normal,Little India,22,No,No
A54,A54,normal,Yishun,59,No,No
A14,A14,normal,Bouna Vista,70,No,No
A32,A32,normal,Bukit Panjang,19,No,No
A34,A34,normal,Tampines,31,No,No
A98,A98,normal,Choa Chu Kang,0,No,Yes
A59,A59,normal,Bukit Panjang,48,No,No
A8,A8,normal,Tampines,39,No,No
A88,A88,normal,Hougang,17,No,No
A88,A88,normal,Tampines,75,No,No
A100,A100,normal,Newton,0,No,Yes
A80,A80,normal,Yishun,0,No,Yes
A12,A12,normal,Admiralty,20,No,No
A65,A65,normal,Queenstown,40,No,No
A85,A85,normal,Little India,52,No,No
A88,A88,normal,Yishun,27,No,No
A30,A30,normal,Serangoon,28,No,No
A51,A51,normal,Yishun,0,No,Yes
A18,A18,normal,Eunos,21,No,No
A82,A82,normal,Tanglin,51,No,No
A25,A25,normal,Novena,67,No,No
A21,A21,normal,Kovan,61,No,No
A6,A6,normal,Sembawang,0,No,Yes
A37,A37,normal,Bishan,20,No,No
A84,A84,normal,Ang Mo Kio,56,No,No
A11,A11,normal,Tampines,27,No,No
A16,A16,normal,Admiralty,0,No,Yes
A85,A85,normal,Tampines,0,No,Yes
A73,A73,normal,Bukit Batok,0,No,Yes
A55,A55,normal,Tanglin,70,No,No
A36,A36,lane departure,Telok Blangah,0,Yes,Yes
A85,A85,normal,Potong Pasir,67,No,No
A28,A28,normal,Woodlands,37,No,No
A86,A86,normal,Bishan,30,No,No
A12,A12,normal,Yishun,23,No,No
A86,A86,normal,Tanglin,48,No,No
A67,A67,normal,Tampines,23,No,No
A83,A83,normal,Woodlands,49,No,No
A53,A53,normal,Jurong East,54,No,No
A85,A85,normal,Yishun,42,No,No
A19,A19,normal,Newton,27,No,No
A26,A26,normal,Bouna Vista,46,No,No
A73,A73,normal,Yishun,26,No,No
A77,A77,normal,Potong Pasir,0,No,Yes
A67,A67,normal,Choa Chu Kang,0,No,Yes
A5,A5,lane departure,Tanglin,55,Yes,No
A85,A85,normal,Admiralty,45,No,No
A90,A90,normal,Little India,40,No,No
A13,A13,normal,Tampines,0,No,Yes
A40,A40,normal,Kovan,45,No,No
A73,A73,normal,Queenstown,32,No,No
A99,A99,normal,Eunos,53,No,No
A4,A4,normal,Marsiling,50,No,No
A60,A60,normal,Woodlands,39,No,No
A5,A5,normal,Boon Lay,0,No,Yes
A12,A12,normal,Tampines,22,No,No
A93,A93,normal,Little India,45,No,No
A56,A56,normal,Bishan,0,No,Yes
A65,A65,unsafe following distance,Alexandra,23,Yes,No
A61,A61,normal,Alexandra,0,No,Yes
A94,A94,lane departure,Yio Chu Kang,48,Yes,No
A58,A58,normal,Potong Pasir,23,No,No
A33,A33,normal,Bishan,59,No,No
A20,A20,normal,Yio Chu Kang,55,No,No
A100,A100,normal,Hougang,45,No,No
A33,A33,normal,Clementi,32,No,No
A46,A46,normal,Queenstown,41,No,No
A89,A89,normal,Yishun,28,No,No
A35,A35,normal,Newton,75,No,No
A72,A72,lane departure,Bouna Vista,0,Yes,Yes
A14,A14,normal,Yishun,0,No,Yes
A26,A26,normal,Jurong East,58,No,No
A1,A1,normal,Boon Lay,35,No,No
A73,A73,normal,Bedok,75,No,No
A38,A38,normal,Tampines,48,No,No
A95,A95,normal,Yishun,42,No,No
A94,A94,normal,Tampines,55,No,No
A56,A56,normal,Bukit Gombak,29,No,No
A37,A37,normal,Kembangan,42,No,No
A15,A15,unsafe following distance,Marine Parade,43,Yes,No
A94,A94,normal,Pasir Laba,50,No,No
A17,A17,normal,Farrer Park,45,No,No
A3,A3,normal,Jurong East,43,No,No
A88,A88,normal,Bukit Batok,43,No,No
A64,A64,normal,Toa Payoh,41,No,No
A98,A98,normal,Redhill,46,No,No
A32,A32,normal,Woodlands,32,No,No
A32,A32,unsafe following distance,Tanglin,0,Yes,Yes
A69,A69,normal,Bedok,0,No,Yes
A3,A3,normal,Jurong East,71,No,No
A54,A54,normal,Punggol,18,No,No
A92,A92,normal,Hougang,0,No,Yes
A62,A62,lane departure,Yishun,68,Yes,No
A55,A55,normal,Little India,56,No,No
A81,A81,unsafe following distance,Yishun,68,Yes,No
A65,A65,normal,Alexandra,61,No,No
A40,A40,normal,Yishun,32,No,No
A70,A70,normal,Woodlands,69,No,No
A64,A64,normal,Bishan,0,No,Yes
A52,A52,normal,Bishan,58,No,No
A63,A63,normal,Choa Chu Kang,20,No,No
A20,A20,normal,Macpherson,58,No,No
A51,A51,normal,Macpherson,17,No,No
A78,A78,normal,Tanglin,18,No,No
A73,A73,unsafe following distance,Paya Lebar,21,Yes,No
A15,A15,normal,Marine Parade,53,No,No
A22,A22,normal,Ang Mo Kio,37,No,No
A48,A48,normal,Yishun,0,No,Yes
A34,A34,normal,Tampines,27,No,No
A38,A38,normal,Geylang,39,No,No
A36,A36,normal,Woodlands,55,No,No
A59,A59,normal,Tanglin,60,No,No
A46,A46,normal,Tampines,75,No,No
A74,A74,normal,Bukit Panjang,61,No,No
A47,A47,normal,Bukit Panjang,53,No,No
A55,A55,normal,Bukit Panjang,33,No,No
A33,A33,normal,Bishan,0,No,Yes
A94,A94,normal,Yio Chu Kang,18,No,No
A90,A90,normal,Little India,44,No,No
A81,A81,normal,Paya Lebar,57,No,No
A83,A83,normal,Choa Chu Kang,30,No,No
A47,A47,normal,Little India,44,No,No
A73,A73,normal,Yishun,74,No,No
A95,A95,normal,Serangoon,0,No,Yes
A97,A97,normal,Bukit Panjang,0,No,Yes
A30,A30,normal,Yishun,0,No,Yes
A66,A66,normal,Yishun,69,No,No
A15,A15,normal,Yishun,69,No,No
A57,A57,normal,Tampines,47,No,No
A64,A64,normal,Simei,42,No,No
A41,A41,normal,Yishun,21,No,No
A54,A54,normal,Tampines,0,No,Yes
A93,A93,lane departure,Bukit Merah,0,Yes,Yes
A75,A75,normal,Novena,60,No,No
A94,A94,normal,Pasir Laba,0,No,Yes
A15,A15,normal,Bukit Batok,21,No,No
A88,A88,normal,Marine Parade,0,No,Yes
A79,A79,normal,Aljunied,38,No,No
A79,A79,unsafe following distance,Sembawang,23,Yes,No
A44,A44,normal,Pasir Ris,68,No,No
A100,A100,normal,Bedok,42,No,No
A30,A30,normal,Yishun,55,No,No
A50,A50,normal,Queenstown,0,No,Yes
A69,A69,normal,Queenstown,41,No,No
A27,A27,normal,Punggol,0,No,Yes
A87,A87,normal,Bouna Vista,35,No,No
A96,A96,normal,Yishun,32,No,No
A4,A4,normal,Newton,0,No,Yes
A83,A83,normal,Toa Payoh,0,No,Yes
A65,A65,normal,Yishun,0,No,Yes
A59,A59,normal,Choa Chu Kang,0,No,Yes
A80,A80,normal,Marine Parade,27,No,No
A5,A5,normal,Little India,0,No,Yes
A56,A56,normal,Novena,39,No,No
A37,A37,normal,Novena,0,No,Yes
A33,A33,normal,Yishun,40,No,No
A7,A7,normal,Tampines,55,No,No
A54,A54,normal,Yishun,37,No,No
A5,A5,normal,Tanglin,31,No,No
A38,A38,normal,Bukit Batok,50,No,No
A17,A17,normal,Yishun,43,No,No
A67,A67,normal,Yio Chu Kang,42,No,No
A16,A16,normal,Newton,23,No,No
A81,A81,normal,Tampines,16,No,No
A50,A50,normal,Yishun,0,No,Yes
A38,A38,unsafe following distance,Bukit Batok,0,Yes,Yes
A9,A9,normal,Chai Chee,68,No,No
A25,A25,normal,Sembawang,58,No,No
A75,A75,normal,Kovan,0,No,Yes
A72,A72,normal,Bouna Vista,0,No,Yes
A53,A53,normal,Ang Mo Kio,20,No,No
A64,A64,normal,Bukit Batok,18,No,No
A77,A77,normal,Paya Lebar,58,No,No
A75,A75,normal,Redhill,0,No,Yes
A100,A100,normal,Queenstown,15,No,No
A55,A55,normal,Yishun,25,No,No
A48,A48,normal,Jurong East,22,No,No
A40,A40,normal,Pasir Laba,16,No,No
A97,A97,normal,Yishun,0,No,Yes
A6,A6,normal,Novena,0,No,Yes
A7,A7,normal,Bukit Batok,25,No,No
A15,A15,normal,Geylang,39,No,No
A6,A6,normal,Toa Payoh,17,No,No
A46,A46,normal,Paya Lebar,0,No,Yes
A54,A54,normal,Yishun,0,No,Yes
A92,A92,normal,Queenstown,18,No,No
A40,A40,normal,Bishan,50,No,No
A31,A31,normal,Tampines,60,No,No
A10,A10,normal,Toa Payoh,19,No,No
A96,A96,normal,Bukit Batok,0,No,Yes
A65,A65,normal,Tampines,73,No,No
A99,A99,normal,Chai Chee,0,No,Yes
A88,A88,normal,Jurong East,0,No,Yes
A41,A41,normal,Bukit Batok,65,No,No
A46,A46,normal,Sengkang,38,No,No
A48,A48,normal,Redhill,0,No,Yes
A17,A17,normal,Choa Chu Kang,0,No,Yes
A39,A39,normal,Admiralty,33,No,No
A2,A2,normal,Kent Ridge,36,No,No
A48,A48,normal,Woodlands,44,No,No
A58,A58,normal,Yishun,29,No,No
A42,A42,normal,Bukit Batok,48,No,No
A62,A62,normal,Newton,23,No,No
A95,A95,normal,Kembangan,54,No,No
A17,A17,normal,Tampines,19,No,No
A27,A27,normal,Newton,41,No,No
A18,A18,unsafe following distance,Bukit Batok,15,Yes,No
A62,A62,normal,Marsiling,0,No,Yes
A37,A37,normal,Bukit Gombak,36,No,No
A64,A64,normal,Woodlands,41,No,No
A51,A51,normal,Tanglin,28,No,No
A41,A41,normal,Kembangan,31,No,No
A61,A61,normal,Alexandra,69,No,No
A31,A31,normal,Newton,46,No,No
A52,A52,normal,Choa Chu Kang,0,No,Yes
A87,A87,normal,Clementi,57,No,No
A97,A97,normal,Pasir Laba,58,No,No
A74,A74,normal,Queenstown,55,No,No
A98,A98,normal,Choa Chu Kang,32,No,No
A24,A24,normal,Bukit Merah,26,No,No
A58,A58,normal,Marsiling,0,No,Yes
A48,A48,normal,Redhill,0,No,Yes
A15,A15,normal,Bukit Batok,45,No,No
A24,A24,normal,Little India,0,No,Yes
A55,A55,normal,Telok Blangah,53,No,No
A19,A19,normal,Yishun,67,No,No
A77,A77,normal,Yishun,24,No,No
A76,A76,normal,Ang Mo Kio,17,No,No
A23,A23,normal,Tampines,0,No,Yes
A87,A87,normal,Tampines,17,No,No
A8,A8,normal,Tampines,0,No,Yes
A50,A50,normal,Queenstown,47,No,No
A20,A20,normal,Yio Chu Kang,0,No,Yes
A5,A5,normal,Bukit Panjang,66,No,No
A68,A68,normal,Serangoon,58,No,No
A23,A23,normal,Sengkang,70,No,No
A36,A36,normal,Yishun,75,No,No
A82,A82,normal,Bukit Panjang,21,No,No
A47,A47,normal,Macpherson,44,No,No
A95,A95,normal,Bouna Vista,45,No,No
A46,A46,normal,Queenstown,45,No,No
A55,A55,normal,Teban Gardens,43,No,No
A10,A10,normal,Sembawang,66,No,No
A17,A17,normal,Pasir Ris,22,No,No
A94,A94,normal,Tampines,56,No,No
A82,A82,normal,Boon Lay,38,No,No
A30,A30,normal,Jurong East,17,No,No
A76,A76,normal,Yishun,46,No,No
A86,A86,normal,Pasir Laba,27,No,No
A82,A82,normal,Little India,66,No,No
A89,A89,normal,Queenstown,74,No,No
A49,A49,normal,Tampines,54,No,No
A53,A53,normal,Alexandra,0,No,Yes
A5,A5,normal,Tanglin,0,No,Yes
A98,A98,normal,Woodlands,46,No,No
A45,A45,normal,Bukit Batok,0,No,Yes
A3,A3,normal,Yishun,45,No,No
